"Agency","Agency (abbrv.)","Reviews of ISI","Reviews of HISA","Total Peer Reviews Completed","Waivers, Deferrals, or Exemptions (ISI)","Waivers, Deferrals, or Exemptions (HISA)","Waivers, Deferrals, or Exemptions","Potential Reviewer Conflicts (ISI)","Potential Reviewer Conflicts (HISA)","Potential Reviewer Conflicts","Agency1","Agency2","Agency3","Agency4","Agency5","Agency6","Agency7","Agency8","Agency9"
"Consumer Products Safety Commission","CPSC",,,0,,,0,,0,0,,,,,,,,,
"Veterans Administration","VA",,,0,,,0,,0,0,,,,,,,,,
"Federal Communication Commission","FCC",,,0,,,0,,0,0,,,,,,,,,
"Department of Commerce","DOC",21,0,21,0,,0,0,0,0,,,,,,,,,
"Department of Agriculture","USDA",5,0,5,0,0,0,0,0,0,"FSIS","FS",,,,,,,
"Department of State","STATE",4,0,4,3,,3,7,0,7,,,,,,,,,
"Consumer Financial Protection Bureau","CFPB",1,0,1,0,,0,0,0,0,,,,,,,,,
"Environmental Protection Agency","EPA",6,5,11,0,,0,0,0,0,,,,,,,,,
"Department of Energy","DOE",1,0,1,,,0,,0,0,,,,,,,,,
"Department of the Interior","DOI",95,8,103,5,2,7,0,0,0,"BSEE","USGS",,"Reclamation","FWS",,,,
"Department of Health and Human Services","HHS",9,0,9,,,,,,,"CDC","NIH",,,,,,,
