"Agency","Agency (abbrv.)","Reviews of ISI","Reviews of HISA","Total Peer Reviews Completed","Waivers, Deferrals, or Exemptions (ISI)","Waivers, Deferrals, or Exemptions (HISA)","Waivers, Deferrals, or Exemptions","Potential Reviewer Conflicts (ISI)","Potential Reviewer Conflicts (HISA)","Potential Reviewer Conflicts","Agency1","Agency2","Agency3","Agency4","Agency5","Agency6","Agency7","Agency8","Agency9"
"Consumer Products Safety Commission","CPSC",,,0,,,0,,,0,,,,,,,,,
"Veterans Administration","VA",,,0,,,0,,,0,,,,,,,,,
"Federal Communication Commission","FCC",,,0,,,0,,,0,,,,,,,,,
"Department of Commerce","DOC",14,0,14,0,,0,0,0,0,,,,,,,,,
"Department of Agriculture","USDA",2,1,3,0,0,0,,,0,"FSIS","FS",,,,,,,
"Department of State","STATE",13,0,13,1,,1,11,0,11,,,,,,,,,
"Consumer Financial Protection Bureau","CFPB",1,0,1,0,,0,0,0,0,,,,,,,,,
"Environmental Protection Agency","EPA",1,1,2,0,,0,0,1,1,,,,,,,,,
"Department of Energy","DOE",0,0,0,,,0,,,0,,,,,,,,,
"Department of the Interior","DOI",64,6,70,5,2,7,,,0,"USGS",,"Reclamation","FWS",,,,,
"Department of Health and Human Services","HHS",41,2,43,,,,,,,"FDA","CDC",,,,,,,
